INDICATIVO;INDSINOP;NOMBRE;PROVINCIA;LATITUD;LONGITUD;ALTURA
3099Y;;OCAÑA;TOLEDO;395606N;032946W;733
3103;;PANTANO EL VADO;GUADALAJARA;410013N;031807W;910
3104Y;;RASCAFRÍA;MADRID;405323N;035318W;1159
3125Y;;SAN SEBASTIÁN DE LOS REYES;MADRID;403300N;033700W;672
3126Y;;MADRID, EL GOLOSO;MADRID;403341N;034243W;740
3140Y;;MANDAYONA;GUADALAJARA;405906N;024536W;990
3170Y;;ALCALA DE HENARES;MADRID;403142N;031723W;605
3182Y;;ARGANDA DEL REY;MADRID;401842N;032952W;533
3194Y;;POZUELO DE ALARCÓN;MADRID;402654N;034848W;665
3209Y;;BRIHUEGA;GUADALAJARA;404555N;025227W;955
3229Y;;TIELMES;MADRID;401450N;031842W;594
3245Y;;TEMBLEQUE;TOLEDO;394146N;033021W;635
3254Y;;MORA ;TOLEDO;394113N;034650W;717
3268C;;ALPEDRETE;MADRID;403935N;040103W;924
3305Y;;NAVAHERMOSA;TOLEDO;393750N;042837W;750
3319D;;PUERTO DEL PICO;AVILA;402023N;050046W;1285
3330Y;;ROZAS DE PUERTO REAL;MADRID;401847N;042914W;890
3337U;;CEBREROS;AVILA;402803N;042721W;850
3343Y;;VALDEMORILLO;MADRID;402948N;040340W;884
3362Y;;CASTILLO DE BAYUELA;TOLEDO;400629N;044050W;560
3386A;;NAVALVILLAR DE IBOR;CACERES;393530N;052303W;923
3422D;;CANDELEDA;AVILA;400821N;051841W;350
3423I;;MADRIGAL DE LA VERA;CACERES;400914N;052224W;464
3427Y;;OROPESA;TOLEDO;395936N;050652W;345
3436D;;GARGANTA LA OLLA;CACERES;400640N;054705W;690
3448X;;SERRADILLA;CACERES;394915N;060739W;406
3455X;;JARAICEJO;CACERES;394012N;054830W;559
3463Y;8263;TRUJILLO;CACERES;392751N;055227W;523
3475X;;CAÑAVERAL;CACERES;394726N;062235W;373
3494U;;NUÑOMORAL;CACERES;402429N;061423W;470
3503;;GUIJO DE GRANADILLA;CACERES;401122N;061003W;400
3504X;;HERVÁS;CACERES;401554N;055140W;724
3512X;;MONTEHERMOSO;CACERES;400451N;062020W;351
3514B;;TORNAVACAS;CACERES;401531N;054042W;991
3516X;;PIORNAL;CACERES;400715N;054957W;1260
3531X;;TORRECILLA DE LOS ANGELES;CACERES;401518N;062442W;459
3536X;;HOYOS;CACERES;401029N;064328W;560
3540X;;ZARZA LA MAYOR;CACERES;395217N;065136W;336
3547X;;VALVERDE DEL FRESNO;CACERES;401226N;065346W;450
3562X;;ALISEDA;CACERES;392539N;064411W;321
3565X;;BROZAS;CACERES;393705N;064442W;425
4007Y;;OSSA DE MONTIEL;ALBACETE;385757N;024442W;905
4051Y;;ALCÁZAR DEL REY;CUENCA;400340N;024825W;875
4064Y;;ALCAZAR DE SAN JUAN;CIUDAD REAL;392327N;031257W;640
4070Y;;ABIA DE OBISPALIA;CUENCA;400108N;022343W;1020
4075Y;;VILLARES DEL SAZ;CUENCA;395025N;023012W;870
4089A;;ALBERCA DE ZANCARA;CUENCA;393101N;022945W;805
4091Y;;VILLARROBLEDO;ALBACETE;391543N;023533W;718
4093Y;;OSA DE LA VEGA ;CUENCA;393922N;024536W;763
4095Y;;BELMONTE;CUENCA;393319N;024220W;745
4096Y;;MUNERA;ALBACETE;390100N;022920W;918
4116I;8349;ALMAGRO / FAMET;CIUDAD REAL;385703N;034431W;626
4138Y;;VILLANUEVA DE LOS INFANTES;CIUDAD REAL;384415N;030016W;900
4193Y;;EL ROBLEDO;CIUDAD REAL;391301N;041658W;587
4195E;;ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS;CIUDAD REAL;391915N;042342W;651
4210Y;;ABENÓJAR;CIUDAD REAL;385353N;041731W;718
4236Y;;PUERTO REY ;CACERES;392702N;050135W;689
4245X;;GUADALUPE;CACERES;392719N;052000W;660
4260;;PERALEDA DEL ZAUCEJO;BADAJOZ;382847N;053439W;542
4263X;;VALSEQUILLO;CORDOBA;382434N;052102W;575
4300Y;;ALMADÉN;CIUDAD REAL;384631N;045043W;535
4325Y;;CASTUERA;BADAJOZ;384431N;053145W;459
4339X;;CAÑAMERO;CACERES;391851N;052208W;590
4340;;NAVALVILLAR DE PELA;BADAJOZ;390612N;052741W;313
4347X;;ZORITA;CACERES;391658N;054237W;413
4362X;;RETAMAL DE LLERENA;BADAJOZ;383435N;055045W;474
4395X;;VILLAFRANCA DE LOS BARROS;BADAJOZ;383306N;061824W;430
4411C;;ALCUESCAR;CACERES;391152N;061352W;467
4427X;;ZAFRA;BADAJOZ;382533N;062612W;433
4436Y;;ALMENDRALEJO;BADAJOZ;384120N;062140W;371
4464X;;ALBURQUERQUE;BADAJOZ;391055N;065943W;283
4468X;;PUEBLA DE OBANDO;BADAJOZ;391036N;063603W;392
4478X;;BADAJOZ;BADAJOZ;385310N;070034W;174
4486X;;OLIVENZA;BADAJOZ;384151N;070504W;275
4489X;;ALCONCHEL;BADAJOZ;382905N;071655W;170
4492F;;BARCARROTA;BADAJOZ;382822N;065524W;377
4497X;;VILLANUEVA DEL FRESNO;BADAJOZ;382220N;070929W;247
4499X;;MONESTERIO;BADAJOZ;380453N;061619W;771
4501X;;FUENTE DE CANTOS;BADAJOZ;381232N;061841W;602
4520X;;FREGENAL DE LA SIERRA;BADAJOZ;381042N;063942W;586
4527X;;AROCHE;HUELVA;375849N;065833W;267
4541X;;EL GRANADO;HUELVA;373313N;073112W;60
4554X;;CARTAYA;HUELVA;371306N;070501W;15
4575X;;VALVERDE DEL CAMINO;HUELVA;373431N;064604W;280
4584X;;EL CERRO DE ANDÉVALO;HUELVA;374354N;065632W;270
4589X;;ALOSNO, THARSIS;HUELVA;373552N;070710W;276
4608X;;EL CAMPILLO;HUELVA;374038N;063748W;415
4622X;;VILLARRASA;HUELVA;372703N;063812W;145
5038Y;;CAZORLA;JAEN;375457N;030014W;799
5060X;;VÉLEZ BLANCO - TOPARES;ALMERIA;375139N;021341W;1190
5103E;;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;370930N;031525W;2152
5103F;;CAMARATE, PARQUE NACIONAL SIERRA NEVADA;GRANADA;371128N;031514W;1534
5107D;;DÓLAR;GRANADA;371048N;025911W;1197
5164B;;BAEZA;JAEN;375948N;032743W;771
5165X;;TORRES;JAEN;374651N;033349W;910
5210X;;VILLANUEVA DEL ARZOBISPO;JAEN;381030N;025953W;680
5279X;;LINARES;JAEN;380904N;033746W;515
5281X;;BAILÉN;JAEN;380535N;034657W;345
5304Y;;PUERTOLLANO;CIUDAD REAL;384008N;040333W;665
5341C;;FUENCALIENTE;CIUDAD REAL;382544N;041806W;710
5346X;;CARDEÑA;CORDOBA;381112N;041621W;720
5361X;;MONTORO;CORDOBA;380048N;041949W;155
5394X;;CÓRDOBA, EMBALSE DE GUADANUÑO;CORDOBA;380115N;044748W;525
5406X;;ALCALÁ LA REAL;JAEN;372951N;035429W;908
5412X;;PRIEGO DE CÓRDOBA;CORDOBA;372905N;041228W;550
5429X;;CÓRDOBA, PRÁGDENA;CORDOBA;374837N;042744W;275
5459X;;ESPIEL;CORDOBA;380640N;045543W;465
5470;;FUENTE PALMERA;CORDOBA;374511N;050602W;120
5473X;;AZUAGA;BADAJOZ;381604N;054110W;581
5511;;PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA;GRANADA;370352N;032217W;3092
5514Z;8420;GRANADA BASE AÉREA;GRANADA;370810N;033800W;695
5515D;8421;VÍZNAR;GRANADA;371413N;033202W;1258
5515X;;GRANADA-CARTUJA;GRANADA;371123N;033544W;775
5516D;8980;SIERRA NEVADA 'RADIOTELESCOPIO';GRANADA;370347N;032313W;2856
5598X;;BENAMEJÍ;CORDOBA;371351N;043252W;465
5612X;;LORA DE ESTEPA;SEVILLA;371613N;044937W;450
5624X;;AGUILAR DE LA FRONTERA;CORDOBA;372855N;044109W;309
5625X;;LA RAMBLA;CORDOBA;373819N;044550W;200
5654X;;LA PUEBLA DE LOS INFANTES;SEVILLA;374712N;052216W;200
5656;;FUENTES DE ANDALUCÍA;SEVILLA;372950N;052559W;165
5702X;;CARMONA;SEVILLA;373356N;054426W;50
5726X;;GUADALCANAL;SEVILLA;380558N;054909W;720
5733X;;ALMADÉN DE LA PLATA;SEVILLA;374728N;060430W;450
5769X;;CALA;HUELVA;375825N;061920W;618
5788X;;TOMARES, ZAUDÍN;SEVILLA;372142N;060335W;84
5790Y;;SEVILLA, TABLADA;SEVILLA;372151N;060021W;9
5835X;;CARRIÓN DE LOS CÉSPEDES;SEVILLA;372136N;062003W;76
5858X;;ALMONTE;HUELVA;365919N;062635W;5
5891X;;LAS CABEZAS DE SAN JUAN;SEVILLA;365712N;055048W;105
5906X;;CHIPIONA;CADIZ;364500N;062402W;10
5919X;;OLVERA;CADIZ;365554N;051534W;530
5941X;;EL BOSQUE;CADIZ;364346N;053044W;295
5950X;;SAN JOSÉ DEL VALLE;CADIZ;363950N;054700W;105
5983X;;MEDINA SIDONIA;CADIZ;362423N;055513W;70
5996B;;BARBATE;CADIZ;361106N;055435W;4
5998X;;OSUNA;SEVILLA;371436N;050645W;255
6032X;;RONDA INSTITUTO;MALAGA;364500N;051007W;753
6040X;;CORTES DE LA FRONTERA;MALAGA;363240N;052311W;315
6042I;;JIMENA DE LA FRONTERA;CADIZ;362608N;052342W;42
6045X;;ALPANDEIRE;MALAGA;363757N;051211W;676
6050X;;GAUCÍN;MALAGA;363107N;051907W;594
6056X;;SAN ROQUE  ;CADIZ;361623N;051704W;1
6057X;;MANILVA;MALAGA;362242N;051536W;140
6069X;;BENAHAVÍS;MALAGA;363237N;050129W;392
6076X;;MARBELLA, PUERTO;MALAGA;362904N;045711W;2
6083X;;MARBELLA;MALAGA;362901N;044425W;2
6088X;;TORREMOLINOS;MALAGA;363714N;043054W;85
6100B;;ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES);MALAGA;370126N;043345W;515
6127X;;ÁLORA;MALAGA;365117N;044148W;172
6143X;;COÍN;MALAGA;363928N;044539W;230
6172X;;MÁLAGA;MALAGA;364300N;042511W;25
6175X;;RINCÓN DE LA VICTORIA;MALAGA;364254N;041710W;7
6199X;;VÉLEZ-MÁLAGA;MALAGA;364607N;040537W;41
6201X;;ALGARROBO;MALAGA;364521N;040238W;40
6213X;;NERJA;MALAGA;364546N;035043W;169
6248D;;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;365708N;032549W;1732
6258X;;LANJARÓN;GRANADA;365523N;032933W;715
6267X;;SALOBREÑA;GRANADA;364454N;033443W;20
6268Y;;MOTRIL, PUERTO;GRANADA;364326N;033145W;1
6272X;;CASTELL DE FERRO;GRANADA;364403N;032248W;235
6281X;;VÁLOR;GRANADA;370019N;030417W;1020
6291B;;EL EJIDO;ALMERIA;364629N;024847W;98
6299I;;LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA;GRANADA;370545N;025752W;2300
6307C;;LAÚJAR, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;370311N;025350W;1713
6307X;;LÁUJAR DE ANDARAX;ALMERIA;370159N;025445W;1518
6312E;;RÁGOL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;370115N;024038W;601
6329X;;CABO DE GATA;ALMERIA;364319N;021135W;52
6332Y;8488;CARBONERAS;ALMERIA;365632N;015425W;222
6335O;;NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;370636N;024157W;970
6340X;;GARRUCHA, PUERTO;ALMERIA;371044N;014900W;6
6364X;;ALBOX;ALMERIA;372424N;020905W;508
6375X;;FUENTE DE PIEDRA;MALAGA;370757N;044431W;420
7007Y;;MAZARRÓN/LAS TORRES;MURCIA;373517N;011350W;66
7012D;8434;CARTAGENA;MURCIA;373616N;010124W;56
7019X;;CARTAGENA/SALINAS CABO PALOS;MURCIA;373809N;004256W;2
7020C;;MURCIA AEROPUERTO;MURCIA;374827N;010741W;205
7023X;;FUENTE ÁLAMO DE MURCIA;MURCIA;374335N;011002W;140
7026X;;TORRE-PACHECO;MURCIA;374420N;005803W;50
7066Y;;YESTE, EMBALSE FUENSANTA;ALBACETE;382331N;021312W;680
7067Y;;NERPIO;ALBACETE;380518N;022447W;1485
7072Y;;YESTE;ALBACETE;381742N;021738W;960
7080X;;MORATALLA;MURCIA;381606N;015911W;955
7103Y;;TOBARRA;ALBACETE;383517N;014122W;615
7121A;;CALASPARRA;MURCIA;381403N;014208W;350
7127X;;BULLAS;MURCIA;380257N;014143W;640
7138B;;JUMILLA;MURCIA;382732N;012007W;485
7158X;;ARCHENA;MURCIA;380741N;011821W;150
7172X;;MULA;MURCIA;380229N;012657W;255
7195X;;CARAVACA DE LA CRUZ, LOS ROYOS;MURCIA;375534N;020330W;985
7203A;;LORCA, ZARCILLA DE RAMOS;MURCIA;375041N;015211W;646
7211B;;PUERTO LUMBRERAS;MURCIA;373405N;014750W;445
7218Y;;TOTANA;MURCIA;374531N;013046W;281
7227X;;ALHAMA DE MURCIA;MURCIA;375142N;012005W;157
7237E;;MOLINA DE SEGURA;MURCIA;380820N;010931W;170
7244X;;ORIHUELA;ALICANTE;380404N;005853W;26
7250C;;ABANILLA;MURCIA;381140N;010202W;174
7261X;;ROJALES;ALICANTE;380517N;004255W;31
8005X;;FONTANARS DELS ALFORINS;VALENCIA;384648N;004745W;622
8008Y;;VILLENA;ALICANTE;383437N;005156W;486
8013X;;NOVELDA;ALICANTE;382312N;004528W;230
8018X;;ELX/ELCHE;ALICANTE;381715N;004050W;110
8036Y;;BENIDORM;ALICANTE;383237N;000816W;36
8057C;;PEGO;ALICANTE;385048N;000706W;60
8058Y;;MIRAMAR;VALENCIA;385701N;000816W;12
8059C;;ALCOI/ALCOY;ALICANTE;384240N;002739W;534
8072Y;;BARX;VALENCIA;390101N;001817W;340
8084Y;;PANTANO DE LA TOBA (AUTOMATICA);CUENCA;401315N;015537W;1154
8155Y;;MOTILLA DEL PALANCAR;CUENCA;393320N;015455W;830
8193E;;JALANCE;VALENCIA;391230N;010540W;372
8198Y;;ALMANSA;ALBACETE;385102N;010347W;710
8203O;8283;ZARRA;VALENCIA;390458N;010603W;855
8210Y;;SALVACAÑETE;CUENCA;400611N;013013W;1160
8245Y;;MIRA;CUENCA;394252N;012633W;815
8270X;;BICORP;VALENCIA;390801N;004724W;305
8283X;;ONTINYENT;VALENCIA;384946N;003628W;350
8300X;;CARCAIXENT;VALENCIA;390648N;002645W;25
8337X;;TURÍS;VALENCIA;392321N;003711W;196
8354X;;ALBARRACÍN;TERUEL;402511N;012629W;1130
8376;;JABALOYAS;TERUEL;401410N;012442W;1430
8381X;;ADEMUZ;VALENCIA;400338N;011701W;705
8395X;;CHELVA;VALENCIA;394512N;005935W;515
8409X;;LLÍRIA;VALENCIA;393950N;003914W;198
8416X;;VALENCIA, UPV;VALENCIA;392847N;002013W;6
8439X;;SEGORBE;CASTELLON;394744N;002907W;400
8446Y;;SAGUNT/SAGUNTO;VALENCIA;394203N;001532W;30
8458X;;CEDRILLAS;TERUEL;402550N;005058W;1380
8472A;;MONTANEJOS;CASTELLON;400516N;003249W;601
8486X;;MOSQUERUELA;TERUEL;402145N;002716W;1515
8492X;;ATZENETA DEL MAESTRAT;CASTELLON;401338N;001011W;420
8503Y;;TORREBLANCA;CASTELLON;401241N;001101E;35
8520X;;LA POBLA DE BENIFASSÀ-FREDES;CASTELLON;404137N;000955E;1168
9001S;8061;ALTO CAMPOO;CANTABRIA;430212N;042228W;1650
9012E;;SANTA GADEA DE ALFOZ;BURGOS;425705N;035726W;915
9016X;;VALDERREDIBLE, CUBILLO DE EBRO;CANTABRIA;424835N;040156W;770
9027X;;SARGENTES DE LA LORA;BURGOS;424449N;035304W;1017
9031C;;BRIVIESCA;BURGOS;423334N;031832W;730
9060X;;LALASTRA;ARABA/ALAVA;425231N;031354W;910
9069C;;MIRANDA DE EBRO;BURGOS;424113N;025738W;460
9073X;;AGURAIN/SALVATIERRA, OPAKUA;ARABA/ALAVA;424947N;022135W;660
9115X;;VALDEZCARAY;LA RIOJA;421518N;025806W;1630
9121X;;HARO;LA RIOJA;423431N;025117W;465
9122I;;LABASTIDA;ARABA/ALAVA;423614N;024636W;612
9136X;;ANGUIANO, VALVANERA;LA RIOJA;421351N;025216W;1006
9141V;;NÁJERA;LA RIOJA;422451N;024336W;500
9145X;;LEZA;ARABA/ALAVA;423402N;023758W;575
9145Y;;CENICERO;LA RIOJA;422858N;023822W;429
9171K;;LOS ARCOS;NAVARRA;423413N;021102W;470
9178X;;CAMPEZO/KANPEZU;ARABA/ALAVA;424014N;022046W;570
9188;;ENCISO;LA RIOJA;420858N;021624W;855
9195C;8909;ASTÚN- LA RACA;HUESCA;424735N;003019W;2276
9198X;;CANFRANC;HUESCA;424458N;003058W;1197
9201X;;JACA;HUESCA;423447N;003242W;832
9207;;VALLE DE HECHO, HECHO;HUESCA;424426N;004502W;860
9211F;;BAILO, PUYALTO;HUESCA;423051N;004902W;722
9218A;;ISABA/IZABA;NAVARRA;425145N;005529W;838
9228J;;OROZ-BETELU/OROTZ-BETELU;NAVARRA;425346N;011801W;635
9228T;;RONCESVALLES/ORREAGA;NAVARRA;430028N;011932W;947
9238X;;NAVASCUÉS/NABASKOZE;NAVARRA;424303N;010702W;612
9245X;;CÁSEDA;NAVARRA;423117N;012159W;440
9252X;;OLITE/ERRIBERRI;NAVARRA;422921N;013920W;390
9257X;;ESTERIBAR, EMBALSE DE EUGI;NAVARRA;425814N;013101W;615
9262P;;MONREAL/ELO;NAVARRA;424204N;012944W;585
9274X;;IRURTZUN;NAVARRA;425508N;015006W;432
9280B;;LARRAGA;NAVARRA;423258N;015127W;375
9287A;;SAN PEDRO MANRIQUE;SORIA;420135N;021351W;1096
9293X;;ALFARO, LA PLANA;LA RIOJA;421034N;014438W;371
9299X;;TARAZONA;ZARAGOZA;415453N;014324W;475
9301X;;MONTEAGUDO;NAVARRA;415732N;014126W;410
9302Y;;TUDELA;NAVARRA;420320N;013634W;297
9321X;;EJEA DE LOS CABALLEROS;ZARAGOZA;420716N;010823W;321
9336D;;CASTEJON DE VALDEJASA;ZARAGOZA;415903N;005945W;543
9344C;;ARCOS DE JALÓN;SORIA;411259N;021735W;863
9352A;;ALMAZUL;SORIA;413429N;020825W;1000
9354X;;ALHAMA DE ARAGON;ZARAGOZA;411735N;015343W;703
9374X;;SANTA EULALIA DEL CAMPO;TERUEL;403400N;011915W;1000
9377Y;;EL PEDREGAL;GUADALAJARA;404643N;013406W;1185
9427X;;LA ALMUNIA DE DOÑA GODINA;ZARAGOZA;412852N;012251W;370
9436X;;FONFRÍA;TERUEL;405943N;010515W;1255
9445L;8096;FORMIGAL, SARRIOS;HUESCA;424545N;002334W;1800
9451F;8915;PANTICOSA, PETROSOS;HUESCA;424216N;001631W;1850
9453X;;BIESCAS, EMBALSE DE BÚBAL;HUESCA;424157N;001908W;1100
9460X;;SABIÑÁNIGO;HUESCA;423046N;002120W;775
9491X;;ALMUDÉVAR;HUESCA;420146N;003509W;390
9495Y;;LECIÑENA;ZARAGOZA;414748N;003702W;405
9501X;;VALMADRID ;ZARAGOZA;412635N;005309W;535
9510X;;QUINTO;ZARAGOZA;412545N;003014W;205
9513X;;MUNIESA;TERUEL;410152N;004820W;800
9531Y;;MONTALBÁN;TERUEL;404943N;004735W;895
9546B;;HIJAR;TERUEL;411019N;002631W;305
9550C;;ANDORRA, HORCALLANA;TERUEL;405828N;002428W;762
9561X;;CASTELLOTE;TERUEL;404754N;001855W;755
9562X;;MORELLA;CASTELLON;403718N;000607W;990
9574B;8165;CASPE, PLANA DEL PILÓN;ZARAGOZA;411433N;000407W;215
9590;;MARTINET  ;LLEIDA;422144N;014136E;1038
9590D;8940;CAP DE REC;LLEIDA;422549N;014004E;1940
9632X;;TUIXENT;LLEIDA;421349N;013410E;1196
9638D;;COLL DE NARGÓ;LLEIDA;420916N;011843E;609
9647X;;TORÀ;LLEIDA;414821N;012344E;435
9650X;;ARTESA DE SEGRE;LLEIDA;415253N;010631E;400
9657X;;ESTERRI D'ÀNEU;LLEIDA;423730N;010734E;952
9660;;SANT MAURICI (LLAC);LLEIDA;423451N;010027E;1907
9677;8938;PORT AINÉ;LLEIDA;422436N;011253E;2410
9689X;;TORRE DE CABDELLA ;LLEIDA;422759N;005927E;1273
9707;;LLIMIANA;LLEIDA;420401N;005426E;515
9718X;;TORDERA - GRANYANELLA;LLEIDA;414052N;011323E;463
9724X;;OS DE BALAGUER;LLEIDA;415224N;004522E;520
9726E;;LLORAC;TARRAGONA;413326N;011834E;657
9729X;;MOLLERUSSA;LLEIDA;413701N;005200E;252
9744B;;VALL DE BOÍ;LLEIDA;423012N;004756E;1089
9751;;SOPEIRA;HUESCA;421907N;004449E;760
9756X;;BENABARRE;HUESCA;420645N;002848E;765
9772X;;LA POBLA DE CÉRVOLES;LLEIDA;412158N;005449E;673
9775X;;EL SOLERÀS;LLEIDA;412449N;004042E;392
9776D;;ELS TORMS;LLEIDA;412336N;004403E;488
9808X;;AÍNSA-SOBRARBE, LA SERRETA;HUESCA;422518N;000817E;610
9812M;;PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO;HUESCA;423919N;000557W;1206
9814I;8919;TORLA-ORDESA, EL CEBOLLAR;HUESCA;423922N;000728W;1905
9814X;;TORLA - ORDESA;HUESCA;423815N;000644W;1076
9838B;;BENASQUE;HUESCA;423558N;003114E;1120
9839V;8923;CERLER, COGULLA;HUESCA;423318N;003235E;2374
9843A;;SEIRA;HUESCA;422837N;002603E;825
9855E;;CAPELLA, LAGUARRES;HUESCA;421205N;002758E;600
9866C;;BARBASTRO;HUESCA;420117N;000826E;305
9894Y;;SARIÑENA;HUESCA;414757N;000939W;300
9901X;;HUESCA;HUESCA;420820N;002342W;463
9908X;;LANAJA;HUESCA;414626N;001959W;380
9911X;;BALLOBAR;HUESCA;413710N;001116E;178
9918Y;;TAMARITE DE LITERA, LA MELUSA;HUESCA;414651N;002237E;218
9924X;;FRAGA;HUESCA;413129N;002120E;170
9935X;;VALDERROBRES;TERUEL;405224N;000847E;483
9946X;;HORTA DE SANT JOAN;TARRAGONA;405711N;001842E;495
9947X;;LA POBLA DE MASSALUCA;TARRAGONA;411038N;002112E;370
9961X;;CABACÉS;TARRAGONA;411458N;004407E;363
9975X;;RASQUERA;TARRAGONA;410018N;003649E;112
9988B;8936;CAP DE VAQUÈIRA;LLEIDA;424131N;005826E;2467
9994X;;BOSSÒST;LLEIDA;424634N;004123E;722
9995Y;;VALCARLOS/LUZAIDE;NAVARRA;430528N;011803W;334
9998X;;BELLO;TERUEL;405517N;012940W;1006
