postal_code,total_tests,total_positives
10002,1,0
10004,2,0
10005,96,28
1002,30,5
1004,2,1
1006,19,3
1012,3,1
1013,2,0
10300,2,1
10400,15,5
10600,2,0
10800,25,6
10840,11,1
11001,7,0
11004,3,0
11008,30,1
11100,21,3
11130,174,21
11139,0,0
11140,2,1
11150,24,5
11160,10,1
11203,81,3
11204,144,7
11206,1,0
11300,46,1
11310,3,0
11311,4,1
11360,29,4
11370,3,0
11402,11,0
11405,38,0
11406,15,1
11407,17,4
11408,42,8
11500,164,12
11510,50,6
11519,19,2
11520,2,0
11540,17,1
11630,8,0
11650,1,1
11680,30,6
12003,1,0
12004,42,7
12005,4,2
12006,98,8
12110,325,51
12190,4,0
12200,9,4
12420,1,0
12428,1,0
12460,3,1
12500,26,5
12539,78,11
12540,7,4
12550,26,4
12560,149,8
12580,42,9
12590,4,0
12594,8,0
12598,2,0
12600,50,4
1300,2,0
13001,1,0
13003,7,2
13004,1,1
13005,5,0
13100,15,3
13170,4,1
13195,1,0
13200,2,0
13240,2,1
13250,127,22
13260,1,0
13270,21,2
13300,10,5
13320,20,3
13370,1,1
13380,1,0
13400,11,2
13500,15,7
13580,2,1
13600,12,1
13620,6,2
13640,1,0
13650,1,0
13670,41,7
13700,26,1
13770,1,0
14001,66,8
14004,100,15
14005,34,16
14006,29,5
14007,164,8
14009,15,4
14010,4,0
14011,23,0
14012,14,6
14013,21,4
14029,114,29
14130,0,0
14200,19,4
14400,10,0
14520,39,10
14540,2,2
14548,49,12
14550,42,9
14600,8,1
14610,1,0
14700,64,9
14710,9,3
14711,1,0
14800,112,41
14830,11,1
14850,142,15
14900,10,0
14910,141,25
14920,13,2
15002,1,0
15003,5,0
15006,3,1
15007,4,1
15008,1,0
15010,55,11
15011,2,1
15102,1,0
15110,1,0
15160,5,0
15165,1,0
15168,1,1
15172,9,1
15200,3,0
15220,3,0
15300,1,0
15310,4,0
15318,2,2
15319,1,0
15403,2,0
15404,10,3
15594,98,5
15659,11,1
15669,1,0
15670,2,1
15702,6,0
15705,5,0
15840,9,0
16002,1,1
16003,12,4
16004,2,2
16235,23,7
16240,1,0
17200,2,2
17300,7,1
17310,3,1
17404,12,5
17411,2,0
17412,0,0
17488,156,12
17600,24,4
17706,2,0
18002,3,0
18003,39,4
18005,1,1
18006,9,0
18007,6,0
18008,17,5
18009,30,3
18012,93,23
18014,186,6
18015,1,1
18016,1,0
18110,3,2
18193,8,3
18195,1,1
18197,12,4
18200,43,2
18220,1,0
18230,20,3
18300,1,0
18360,1,1
18500,434,70
18600,11,1
18620,37,11
18680,24,0
18690,278,25
18800,98,32
18810,1,0
18812,9,1
18817,29,12
18818,0,0
18830,3,0
19004,1,0
19141,1,0
19170,17,1
19171,2,0
19174,1,0
19180,27,1
19185,1,0
19187,2,0
19188,19,2
19200,3,0
19208,1,0
19326,10,1
20001,1,1
20002,25,16
20010,10,2
20012,1,0
20015,1,1
20017,5,3
20120,2,1
20304,1,0
20305,51,9
20810,2,0
21001,26,3
21002,55,5
21003,16,2
21004,117,4
21005,35,2
21006,66,2
21007,43,4
21100,3,0
21110,36,4
21120,2,1
21200,1,0
2124,2,2
21400,2,0
21440,4,0
21449,42,3
21450,41,3
21510,127,9
21520,1,0
21600,20,9
21710,167,22
21730,4,0
21760,1,1
21830,1,0
21880,63,38
22005,41,8
22006,16,1
22300,3,1
22400,8,0
22600,7,2
22660,5,0
2270,5,0
23001,66,10
23002,114,7
23003,1,0
23004,1,0
23007,1,0
23008,84,4
23009,8,3
23100,2,0
23170,1,0
23196,1,0
23200,40,8
23211,1,1
23240,56,21
23320,130,29
23400,5,1
23440,1,0
23470,1,0
23650,21,1
23680,109,18
23686,1,1
23687,3,0
23689,1,0
23690,2,2
23691,1,1
23692,4,2
23700,83,18
23740,9,3
2400,2,1
24001,7,1
24002,22,6
24003,2,0
24005,47,7
24007,60,7
24195,49,15
24196,16,1
24210,1,0
24300,14,1
24320,22,3
24400,1,0
24750,1,0
25001,6,0
25002,1,1
25003,3,0
25005,4,1
25100,1,0
25200,6,2
25230,35,7
25400,24,3
2600,8,2
26003,1,1
26005,9,2
26200,1,1
26250,4,0
26300,43,4
26360,115,7
26540,31,2
26580,8,0
2660,2,1
27002,5,0
27518,3,0
27600,10,2
27619,2,0
27780,15,2
28002,74,7
28003,109,2
28004,2,2
28005,228,20
28007,3,0
28009,98,7
28010,39,3
28011,16,0
28015,111,7
28016,7,2
28018,26,3
28019,32,3
28020,9,4
28021,18,3
28022,81,1
28023,9,2
28024,28,2
28025,1,0
28026,1,0
28027,54,16
28028,218,21
28029,111,25
28030,1,0
28031,42,8
28032,104,4
28033,19,1
28034,64,9
28035,255,12
28036,83,4
28037,21,0
28038,4,0
28039,14,5
28041,17,0
28042,20,16
28043,657,38
28045,44,2
28046,1,0
28050,2,2
28052,3,0
28053,9,3
28054,28,1
28055,5,2
28100,207,32
28108,2,1
28109,2,1
28110,23,2
28119,2,1
28130,10,0
28150,2,0
28160,54,10
28180,14,5
28189,1,0
28210,37,6
28220,176,10
28221,9,1
28222,116,5
28223,2,0
28224,58,4
28229,9,5
28231,19,2
28232,34,6
28250,18,7
28260,62,7
28280,9,3
28290,20,3
28294,1,0
28300,108,11
28341,6,2
28342,163,18
28350,36,4
28360,3,1
28390,5,0
28400,2,2
28411,9,3
28412,6,0
28420,7,3
28430,23,2
28440,7,2
28460,39,10
28490,7,1
28492,179,19
28500,66,8
28510,4,2
28514,123,11
28521,69,1
28522,57,3
28530,19,2
28600,28,9
28609,45,5
28610,40,1
28660,344,16
28669,68,4
28680,1,0
28690,1,0
28691,11,2
28701,48,3
28702,22,7
28703,6,2
28706,4,4
28709,225,33
28710,1,0
28723,1,1
28729,2,1
28730,1,1
28739,6,1
28750,142,97
28760,187,13
28770,18,2
28792,25,1
28794,27,3
28804,2,0
28805,23,0
28806,79,5
28816,1,1
28821,0,0
28822,3,0
28823,64,4
28830,10,1
28850,291,36
28860,41,2
28863,22,5
28891,2,0
28901,2,0
28903,95,11
28906,4,1
28911,1,1
28912,5,3
28913,23,3
28915,5,1
28916,3,2
28917,6,3
28918,41,5
28919,1,1
28922,3,0
28924,49,5
28925,22,3
28931,1,0
28932,24,2
28933,1,0
28935,14,0
28938,123,5
28939,10,3
28942,32,2
28943,11,1
28944,14,2
28945,1,1
28970,15,2
28971,51,17
28976,2,0
28981,6,4
28982,4,2
28983,47,8
29002,24,9
29003,3,1
29004,163,4
29007,4,1
29010,237,21
29013,19,2
29014,37,6
29016,19,3
29100,115,11
29110,1,0
29120,5,2
29140,80,7
29200,101,24
29220,5,2
29310,32,5
29312,61,6
29320,97,22
29327,20,2
29328,1,0
29330,1,1
29380,7,2
29400,23,5
29510,1,1
29532,2,1
29540,1,0
29550,2,2
29560,1,0
29580,1,1
29600,1,0
29601,167,19
29602,177,11
29603,83,6
29620,35,9
29630,16,1
29631,21,6
29640,4,0
29649,39,4
29650,10,3
29651,78,6
29660,2,0
29670,107,9
29678,63,3
29680,106,9
29689,2,1
29693,3,0
29700,1,1
29713,2,0
29730,2,0
29740,3,2
29770,16,0
29780,37,2
29790,78,6
29793,8,0
30001,239,3
30006,1,0
30007,6,1
30008,213,8
30010,12,3
3005,3,0
3006,1,0
3007,2,0
3009,30,4
30100,6,0
30107,2,0
30110,10,2
3013,10,2
3015,109,8
30150,9,1
3016,8,0
30161,28,5
30170,4,3
30201,7,0
30204,189,12
30205,3,0
30310,5,0
30353,1,0
30360,29,10
30392,14,0
30394,5,0
30400,404,52
30410,1,0
30420,21,2
30500,3,1
30507,3,0
30508,1,0
30510,11,0
30530,23,10
30560,1,0
30564,27,2
30600,4,0
30740,2,0
30800,56,5
30820,3,0
30840,5,1
30850,168,34
30860,38,5
30868,10,1
30870,114,5
30877,1,0
30880,31,5
30890,2,1
31006,2,2
31100,1,1
31174,88,4
31190,1,0
31192,1,1
31200,2,2
3130,27,4
3139,1,0
31390,1,1
31400,72,29
31409,20,1
31421,1,0
31460,4,0
31500,20,5
31587,22,5
31600,2,1
31620,128,2
31621,1,0
31695,1,0
3170,5,0
31800,1,0
3181,31,2
3183,56,4
3184,18,1
3187,3,0
31870,1,1
3195,104,10
32004,10,0
32005,2,0
3201,167,6
3202,142,21
3203,43,2
3204,3,2
3205,279,21
3206,35,2
32627,16,1
3292,8,0
3293,8,0
3294,6,4
3295,1,0
3296,1,0
3300,9,3
33008,1,0
33009,1,0
33010,9,2
33011,1,0
33012,5,1
33119,1,0
3320,40,3
33202,6,1
33204,1,0
33205,6,0
33212,1,0
33213,1,0
3330,83,6
33392,1,1
3340,5,1
33403,3,0
33405,6,0
33500,21,3
33509,2,1
33510,4,0
33592,1,0
33670,2,0
33690,2,0
33700,16,4
3380,3,0
3390,95,11
33950,3,2
3400,218,24
3409,25,1
3410,1,0
35015,1,0
35018,14,0
3502,7,0
3503,23,0
3509,13,1
3520,3,1
35200,5,0
35213,22,1
35259,4,0
3530,29,3
35339,2,0
3540,1,0
35413,1,0
35415,4,0
35509,8,0
3580,8,2
3581,12,2
3590,19,1
36001,15,1
36002,2,0
36003,60,17
36004,5,0
36140,13,0
36164,7,1
36203,3,1
36205,3,0
36207,3,0
36210,10,2
36214,17,2
3630,15,2
36600,4,1
36613,1,1
36627,1,0
36690,3,0
36700,32,3
36713,1,0
36715,4,1
36800,6,0
36812,3,0
3688,9,0
3690,2,0
36915,5,2
36930,2,0
36939,1,0
3700,8,0
37003,62,5
37184,4,1
3727,1,0
3730,13,3
3738,34,1
3739,43,2
3750,6,0
37621,4,0
37700,21,1
37760,1,0
37770,1,0
3780,145,10
3789,3,1
38003,7,0
38005,2,0
38007,9,0
3803,130,17
3804,1,0
38202,6,0
38203,1,0
38290,4,0
38320,3,0
38360,6,0
38379,2,0
38410,2,0
38419,2,0
38509,1,0
38550,1,0
38588,21,0
38627,9,0
38632,8,1
38639,39,2
38660,3,0
38800,8,2
39007,2,2
39008,1,0
39120,2,0
39300,3,1
39312,10,0
39400,2,0
39478,1,0
39600,29,14
39620,1,0
39700,28,1
40002,2,1
40006,12,0
4003,72,5
4004,23,9
4005,24,5
4007,2,0
4008,2,0
4009,1,1
40424,1,0
41004,20,3
41005,6,0
41006,31,5
41007,1,0
41008,77,4
41009,59,1
41010,12,3
41012,75,5
41013,4,0
41014,4,1
41015,39,3
41016,16,3
41018,77,2
41019,67,6
41020,34,2
41089,38,5
41100,88,14
41111,56,17
41120,8,0
4120,1,0
41200,2,0
41210,108,10
41230,15,0
4130,7,1
41300,12,1
41309,13,1
41310,22,2
41320,1,0
41400,119,11
41410,124,21
41420,3,0
41440,24,3
41450,1,0
41500,28,0
41530,5,1
41560,22,5
41600,60,22
41610,2,1
41650,24,6
41701,13,0
41703,2,0
41704,25,3
41710,271,24
41720,12,1
41730,23,1
41740,54,16
41800,1,0
41807,8,1
41808,48,6
41840,6,0
41860,3,0
41880,5,2
41900,2,0
41907,3,0
41909,39,8
41910,1,0
41920,269,2
41927,40,4
41928,1,0
41940,117,24
41980,2,0
42001,2,0
42004,4,0
42005,6,0
42134,5,1
42190,4,0
42200,3,0
42211,3,0
42216,3,0
4230,6,0
43002,25,3
43007,16,1
43008,1,0
43120,24,4
43203,4,0
43205,32,1
43470,5,1
43480,17,2
43481,14,1
43500,1,0
43530,11,4
43540,114,19
43580,33,3
43700,10,1
43730,12,0
43800,16,1
43812,29,6
43820,9,0
43830,11,3
43839,189,8
43840,8,2
43850,1,0
43881,22,4
43882,4,0
43890,229,29
43893,2,0
43895,1,0
44001,1,0
44002,104,10
44190,1,0
44195,2,1
44200,4,0
44580,7,1
44600,52,1
45003,20,6
45004,7,3
45005,12,2
45006,1,1
45007,25,6
45008,41,2
45100,1,0
45111,130,21
45126,33,12
45183,1,0
45190,3,2
45200,130,13
45210,2,0
45214,21,3
45220,8,2
45221,47,2
45223,4,0
45224,7,0
45230,5,1
45270,3,0
45300,10,0
45400,1,1
45470,1,0
45500,6,2
45593,9,3
45600,233,27
45611,5,0
45710,218,47
45800,1,0
45860,2,1
45880,2,1
45910,12,0
45930,1,1
4600,51,14
46003,40,2
46004,25,2
46005,46,3
46006,24,4
46007,113,5
46008,86,9
46009,1,0
46010,66,2
46013,1,0
46014,1,0
46016,120,1
46017,165,18
46018,51,0
46019,61,4
46020,10,0
46021,74,3
46022,239,6
46024,1,0
46025,3,0
46035,5,0
46100,3,1
46117,2,0
46119,3,2
46120,6,0
46130,11,2
46132,1,0
46133,49,1
46134,104,2
46135,1,0
46136,1,0
46160,7,0
46180,3,0
46183,169,7
46184,1,0
46185,8,0
46191,1,0
46192,9,1
46200,3,1
46220,7,0
46230,1,0
46240,45,5
46250,172,19
46260,35,11
46290,5,0
4630,11,4
46360,66,6
46370,97,2
46380,18,1
46389,10,1
46410,1,0
46420,28,5
46430,48,1
46450,6,0
46460,1,0
46470,58,9
46520,41,2
46529,108,2
46530,10,2
46595,2,0
4660,1,0
46600,1,0
46630,27,3
46640,48,6
46650,13,1
46689,1,0
46690,1,0
46701,2,0
46702,4,0
46710,3,2
46715,45,3
46720,6,1
46722,3,0
46727,1,0
46730,15,0
46760,60,3
46770,2,0
46780,1,0
46800,236,23
46850,109,19
46870,26,6
46900,18,3
46901,25,4
46910,31,0
46920,198,1
46940,106,9
46950,2,0
46960,4,0
46970,27,1
46980,43,1
46988,1,1
4700,81,6
47004,14,4
47007,2,0
47008,17,4
47013,1,0
47014,4,0
47100,4,0
4720,24,2
4721,1,0
4738,1,0
4740,2,0
4741,1,1
47420,1,0
4745,4,1
4746,17,1
4760,11,4
4800,106,5
48003,1,1
48005,20,2
48006,1,0
48007,18,7
48008,6,0
48013,5,1
48014,1,0
48015,36,9
48100,35,8
48130,8,1
4815,1,0
48220,6,0
48480,2,0
4860,21,4
48600,1,1
48610,3,0
48903,2,0
48920,5,1
48940,26,1
48950,1,1
48960,3,1
48991,16,7
49005,2,1
49006,5,1
49300,30,4
49800,196,15
49882,2,0
50002,8,2
50003,17,1
50005,4,0
50006,103,2
50007,7,1
50009,75,3
5001,1,0
50010,303,25
50011,3,0
50012,330,7
50014,37,6
50015,229,7
50016,3,0
50017,59,0
50018,88,8
50019,25,1
50021,158,6
5004,43,6
50100,34,5
50130,74,16
50172,81,12
50180,77,10
50194,2,0
50300,5,2
50410,236,13
50540,36,3
50620,38,2
50630,19,0
50692,1,0
50720,1,0
50781,3,0
50800,12,1
50830,113,12
5200,4,0
52005,2,2
52006,3,2
6003,97,6
6005,1,0
6006,2,0
6010,17,1
6011,129,9
6100,57,10
6160,4,0
6200,11,0
6225,6,1
6300,12,3
6310,33,9
6360,8,2
6400,75,1
6430,42,3
6450,1,0
6480,92,8
6500,5,2
6510,1,0
6700,2,0
6800,237,26
6850,1,1
6900,8,1
7006,56,5
7007,20,1
7010,19,0
7011,83,0
7013,8,3
7141,18,3
7144,3,0
7193,14,0
7200,3,0
7260,6,0
7300,20,9
7330,18,2
7400,81,4
7460,4,1
7500,147,25
7590,106,7
7600,1,0
7620,31,6
7630,28,5
7650,179,16
7680,30,4
7710,11,0
7730,4,2
7740,68,1
7749,1,0
7760,9,5
7800,8,0
7816,1,0
7817,233,13
8001,7,1
8002,4,0
8003,19,0
8005,5,0
8008,1,0
8011,25,1
8012,44,1
8013,7,3
8014,15,2
8015,4,0
8017,58,4
8018,6,0
8020,1,0
8021,141,10
8022,33,4
8023,29,1
8024,23,1
8025,3,0
8026,16,1
8027,193,20
8028,92,5
8029,61,6
8030,69,5
8031,1,0
8032,2,0
8041,185,9
8100,46,7
8110,10,2
8130,16,0
8140,121,24
8160,1,0
8172,1,0
8173,235,5
8174,1,0
8180,34,1
8184,127,5
8186,6,2
8191,16,1
8197,1,0
8202,22,6
8205,1,0
8206,16,0
8208,86,6
8210,3,0
8211,5,1
8213,29,6
8214,10,0
8224,4,0
8226,27,1
8227,87,7
8228,18,0
8230,3,0
8233,78,4
8241,1,0
8243,11,1
8272,2,0
8291,1,0
8296,2,1
8301,17,0
8302,75,2
8303,12,2
8304,1,0
8319,2,0
8320,3,0
8330,7,0
8370,5,1
8389,4,0
8392,11,2
8397,50,3
8398,20,1
8420,75,6
8440,19,8
8445,9,0
8460,47,11
8490,5,2
8500,5,1
8520,807,291
8530,3,0
8553,17,0
8620,16,3
8629,44,12
8635,2,0
8640,17,1
8700,131,14
8711,70,3
8720,117,21
8740,108,7
8750,107,7
8754,1,0
8757,135,15
8769,1,1
8770,92,9
8781,20,7
8783,90,4
8786,92,15
8790,29,2
8791,10,1
8795,4,2
8800,159,18
8810,123,13
8811,152,21
8812,1,0
8820,4,0
8830,86,1
8840,8,1
8850,153,7
8859,1,0
8860,276,10
8870,58,4
8901,105,7
8902,1,0
8903,1,0
8904,3,1
8907,9,1
8912,3,0
8914,59,8
8921,5,0
8922,3,0
8924,135,0
8930,8,0
8940,2,1
8950,72,2
8960,22,0
8970,1,0
8980,136,5
9006,18,1
9007,62,1
9400,3,0
9500,7,1
9550,1,0
